chr,pos,H,A,NA,valid_count,h_ratio
4,18,63,56,0,119,0.529
4,19,63,56,0,119,0.529
4,20,61,58,0,119,0.513
4,21,61,57,1,118,0.517
4,22,63,55,1,118,0.534
4,23,64,55,0,119,0.538
4,24,66,53,0,119,0.555
4,25,65,54,0,119,0.546
4,26,64,55,0,119,0.538
4,27,64,55,0,119,0.538
4,28,65,54,0,119,0.546
4,29,65,54,0,119,0.546
4,30,64,54,1,118,0.542
4,31,64,55,0,119,0.538
4,32,62,55,2,117,0.53
4,33,63,55,1,118,0.534
4,34,61,57,1,118,0.517
4,35,60,59,0,119,0.504
4,36,56,62,1,118,0.475
4,37,53,65,1,118,0.449
4,38,54,64,1,118,0.458
5,1,58,60,1,118,0.492
5,2,57,59,3,116,0.491
5,3,55,64,0,119,0.462
5,4,57,60,2,117,0.487
5,5,55,64,0,119,0.462
5,6,56,63,0,119,0.471
5,7,55,63,1,118,0.466
5,8,56,63,0,119,0.471
5,9,56,63,0,119,0.471
5,10,57,62,0,119,0.479
5,11,55,64,0,119,0.462
5,12,56,62,1,118,0.475
5,13,57,62,0,119,0.479
5,14,56,63,0,119,0.471
5,15,57,62,0,119,0.479
5,16,59,60,0,119,0.496
5,17,59,59,1,118,0.5
5,18,59,60,0,119,0.496
5,19,57,62,0,119,0.479
5,20,54,65,0,119,0.454
5,21,55,64,0,119,0.462
5,22,53,63,3,116,0.457
5,23,54,65,0,119,0.454
5,24,54,65,0,119,0.454
5,25,54,65,0,119,0.454
5,26,54,65,0,119,0.454
5,27,54,65,0,119,0.454
5,28,55,64,0,119,0.462
5,29,55,63,1,118,0.466
5,30,58,61,0,119,0.487
5,31,58,60,1,118,0.492
5,32,57,60,2,117,0.487
5,33,57,60,2,117,0.487
5,34,57,62,0,119,0.479
5,35,60,58,1,118,0.508
5,36,61,58,0,119,0.513
5,37,64,55,0,119,0.538
5,38,63,56,0,119,0.529
5,39,64,55,0,119,0.538
5,40,64,55,0,119,0.538
5,41,64,55,0,119,0.538
5,42,64,54,0,118,0.542
5,43,61,56,2,117,0.521
5,44,60,58,1,118,0.508
5,45,61,58,0,119,0.513
5,46,62,57,0,119,0.521
5,47,62,56,1,118,0.525
5,48,63,56,0,119,0.529
5,49,63,56,0,119,0.529
5,50,63,56,0,119,0.529
5,51,61,57,1,118,0.517
5,52,63,55,1,118,0.534
5,53,64,52,3,116,0.552
5,54,60,58,1,118,0.508
