chr,pos,H,A,NA,valid_count,h_ratio,p_value
3,13,72,83,0,155,0.465,0.4219388330129731
3,14,74,80,1,154,0.481,0.6871492187686531
3,15,75,79,1,154,0.487,0.8090726851888606
3,16,75,80,0,155,0.484,0.748110951978756
3,17,75,80,0,155,0.484,0.748110951978756
3,18,76,79,0,155,0.49,0.8724408026046268
3,19,77,76,2,153,0.503,1.0
3,20,78,76,1,154,0.506,0.9358089200203937
3,21,77,78,0,155,0.497,1.0
3,22,77,78,0,155,0.497,1.0
3,23,78,77,0,155,0.503,1.0
3,24,78,77,0,155,0.503,1.0
3,25,78,77,0,155,0.503,1.0
3,26,78,70,7,148,0.527,0.5651719099883431
3,27,78,77,0,155,0.503,1.0
3,28,78,76,1,154,0.506,0.9358089200203937
3,29,78,77,0,155,0.503,1.0
3,30,78,77,0,155,0.503,1.0
3,31,78,77,0,155,0.503,1.0
3,32,78,77,0,155,0.503,1.0
3,33,78,77,0,155,0.503,1.0
3,34,79,76,0,155,0.51,0.8724408026046268
3,35,79,76,0,155,0.51,0.8724408026046268
3,36,79,76,0,155,0.51,0.8724408026046268
3,37,79,76,0,155,0.51,0.8724408026046268
3,38,78,76,1,154,0.506,0.9358089200203937
3,39,80,75,0,155,0.516,0.748110951978756
3,40,80,75,0,155,0.516,0.748110951978756
3,41,80,75,0,155,0.516,0.748110951978756
3,42,81,72,2,153,0.529,0.5179210307990446
3,43,82,73,0,155,0.529,0.5206333734262384
3,44,83,71,1,154,0.539,0.37545688817317885
3,45,84,69,2,153,0.549,0.2576337765467225
3,46,88,67,0,155,0.568,0.10787772038387615
3,47,85,69,1,154,0.552,0.22665066200791278
4,1,86,68,1,154,0.558,0.1705165486081881
4,2,83,68,4,151,0.55,0.25450029334259067
4,3,84,70,1,154,0.545,0.29481351399329214
4,4,84,71,0,155,0.542,0.3351352010832354
4,5,84,71,0,155,0.542,0.3351352010832354
4,6,84,71,0,155,0.542,0.3351352010832354
4,7,84,71,0,155,0.542,0.3351352010832354
4,8,84,71,0,155,0.542,0.3351352010832354
4,9,83,72,0,155,0.535,0.4219388330129731
4,10,80,72,3,152,0.526,0.5703330633303956
4,11,83,72,0,155,0.535,0.4219388330129731
4,12,82,71,2,153,0.536,0.4189205249064943
4,13,83,72,0,155,0.535,0.4219388330129731
4,14,83,72,0,155,0.535,0.4219388330129731
4,15,83,72,0,155,0.535,0.4219388330129731
4,16,84,70,1,154,0.545,0.29481351399329214
4,17,83,71,1,154,0.539,0.37545688817317885
4,18,86,69,0,155,0.555,0.19858360530805072
4,19,85,69,1,154,0.552,0.22665066200791278
4,20,87,68,0,155,0.561,0.14799763102341476
4,21,84,69,2,153,0.549,0.2576337765467225
4,22,83,70,2,153,0.542,0.33199325143986363
4,23,86,69,0,155,0.555,0.19858360530805072
4,24,79,74,2,153,0.516,0.7465275303369366
4,25,80,75,0,155,0.516,0.748110951978756
4,26,78,75,2,153,0.51,0.8716178400407862
4,27,80,75,0,155,0.516,0.748110951978756
4,28,81,74,0,155,0.523,0.6299975938841784
4,29,79,75,1,154,0.513,0.8090726851888606
4,30,77,77,1,154,0.5,1.0
4,31,78,76,1,154,0.506,0.9358089200203937
4,32,77,77,1,154,0.5,1.0
4,33,78,77,0,155,0.503,1.0
4,34,79,75,1,154,0.513,0.8090726851888606
4,35,76,76,3,152,0.5,1.0
4,36,75,78,2,153,0.49,0.8716178400407862
4,37,73,81,1,154,0.474,0.5728459689997074
4,38,65,88,2,153,0.425,0.07496157752821145
5,1,79,75,1,154,0.513,0.8090726851888606
5,2,82,72,1,154,0.532,0.4684207778527701
5,3,79,76,0,155,0.51,0.8724408026046268
5,4,76,79,0,155,0.49,0.8724408026046268
5,5,78,77,0,155,0.503,1.0
5,6,77,78,0,155,0.497,1.0
5,7,80,75,0,155,0.516,0.748110951978756
5,8,81,74,0,155,0.523,0.6299975938841784
5,9,81,74,0,155,0.523,0.6299975938841784
5,10,82,73,0,155,0.529,0.5206333734262384
5,11,82,72,1,154,0.532,0.4684207778527701
5,12,83,71,1,154,0.539,0.37545688817317885
5,13,83,72,0,155,0.535,0.4219388330129731
5,14,84,71,0,155,0.542,0.3351352010832354
5,15,84,71,0,155,0.542,0.3351352010832354
5,16,84,70,1,154,0.545,0.29481351399329214
5,17,85,70,0,155,0.548,0.2607320880006022
5,18,85,70,0,155,0.548,0.2607320880006022
5,19,85,70,0,155,0.548,0.2607320880006022
5,20,84,71,0,155,0.542,0.3351352010832354
5,21,84,71,0,155,0.542,0.3351352010832354
5,22,84,71,0,155,0.542,0.3351352010832354
5,23,84,71,0,155,0.542,0.3351352010832354
5,24,84,71,0,155,0.542,0.3351352010832354
5,25,84,71,0,155,0.542,0.3351352010832354
5,26,84,71,0,155,0.542,0.3351352010832354
5,27,84,71,0,155,0.542,0.3351352010832354
5,28,84,71,0,155,0.542,0.3351352010832354
5,29,82,71,2,153,0.536,0.4189205249064943
5,30,84,71,0,155,0.542,0.3351352010832354
5,31,84,71,0,155,0.542,0.3351352010832354
5,32,84,71,0,155,0.542,0.3351352010832354
5,33,82,72,1,154,0.532,0.4684207778527701
5,34,81,74,0,155,0.523,0.6299975938841784
5,35,81,74,0,155,0.523,0.6299975938841784
5,36,80,75,0,155,0.516,0.748110951978756
5,37,80,74,1,154,0.519,0.6871492187686531
5,38,80,74,1,154,0.519,0.6871492187686531
5,39,78,76,1,154,0.506,0.9358089200203937
5,40,80,75,0,155,0.516,0.748110951978756
5,41,81,74,0,155,0.523,0.6299975938841784
5,42,82,73,0,155,0.529,0.5206333734262384
5,43,81,73,1,154,0.526,0.5728459689997074
5,44,79,75,1,154,0.513,0.8090726851888606
5,45,80,74,1,154,0.519,0.6871492187686531
5,46,81,73,1,154,0.526,0.5728459689997074
5,47,82,73,0,155,0.529,0.5206333734262384
5,48,85,70,0,155,0.548,0.2607320880006022
5,49,83,71,1,154,0.539,0.37545688817317885
5,50,83,71,1,154,0.539,0.37545688817317885
5,51,83,71,1,154,0.539,0.37545688817317885
5,52,80,75,0,155,0.516,0.748110951978756
5,53,76,73,6,149,0.51,0.8699229710286401
5,54,78,74,3,152,0.513,0.8078463096035289
